Source,Target,Correlation,Type
507,449,0.9958186779817711,undirected
540,449,0.995818677981771,undirected
461,449,0.9952510543768741,undirected
486,449,0.9909469757989845,undirected
458,449,0.9737664626843604,undirected
537,449,0.995818677981771,undirected
539,449,0.995818677981771,undirected
327,542,0.9458367584689905,undirected
385,542,0.9390614248842364,undirected
344,542,0.9162753060836576,undirected
551,542,1,undirected
64,542,0.9910519797224526,undirected
148,542,0.8392229338689187,undirected
528,485,0.9999999999999999,undirected
309,485,1,undirected
549,485,1,undirected
343,485,0.9957274295598684,undirected
515,485,1,undirected
548,485,1,undirected
182,485,1,undirected
186,485,0.9939484018938546,undirected
187,485,1,undirected
487,485,1,undirected
427,526,0.9999150214827244,undirected
519,526,1.0000000000000002,undirected
489,526,1,undirected
507,526,1,undirected
540,526,1,undirected
461,526,0.994662457611212,undirected
486,526,0.995353861552016,undirected
458,526,0.965410332649461,undirected
537,526,1,undirected
539,526,1,undirected
449,526,0.995818677981771,undirected
25,147,0.8916401074666939,undirected
427,166,0.9999150214827245,undirected
519,166,1.0000000000000002,undirected
489,166,1,undirected
507,166,1.0000000000000002,undirected
540,166,1,undirected
461,166,0.994662457611212,undirected
486,166,0.9953538615520158,undirected
458,166,0.965410332649461,undirected
537,166,1,undirected
539,166,1,undirected
449,166,0.995818677981771,undirected
526,166,1,undirected
323,74,0.7517508206352759,undirected
348,74,0.7689663910836668,undirected
60,74,0.9571086197174374,undirected
221,74,0.8985998321532712,undirected
136,74,0.7552443606966495,undirected
134,74,0.8693076379604097,undirected
139,74,0.7750765826783617,undirected
201,214,0.851113994401413,undirected
257,214,0.9099721989943818,undirected
59,85,0.9081320604693646,undirected
54,85,0.8291806388051614,undirected
369,85,0.9578400383720737,undirected
495,85,0.8476580450637285,undirected
188,85,0.8708958650811672,undirected
59,61,0.7822892451205946,undirected
54,61,0.9011041234517994,undirected
59,75,0.8860580265785554,undirected
369,75,0.9423012760504927,undirected
495,75,0.8334476933081711,undirected
188,75,0.8564573185771701,undirected
85,75,0.900577730268323,undirected
323,206,0.805480220580827,undirected
348,206,0.8532225294782022,undirected
60,206,0.956162461985194,undirected
216,206,0.7664776066178695,undirected
221,206,0.989529661253656,undirected
136,206,0.8856022690359587,undirected
134,206,0.8865343924693391,undirected
74,206,0.8729113192603599,undirected
536,73,0.7992892000308464,undirected
348,125,0.7895496481507085,undirected
60,125,0.8437355304332976,undirected
221,125,0.8929769076518824,undirected
105,125,0.7943568269160581,undirected
136,125,0.7730867770472925,undirected
134,125,0.7852533482848972,undirected
74,125,0.7755696385787042,undirected
206,125,0.8834036058166971,undirected
207,191,0.8604856481917499,undirected
327,160,0.9356481231639918,undirected
385,160,0.9286484107532339,undirected
344,160,0.9070163902770915,undirected
551,160,0.9917888197157266,undirected
64,160,0.9824701737104756,undirected
148,160,0.8287472618796627,undirected
542,160,0.9917888197157265,undirected
235,71,0.7654519592321783,undirected
152,71,0.7775352134653242,undirected
116,71,0.76987892153699,undirected
554,65,0.9619051380349497,undirected
172,65,0.8856644994283747,undirected
527,65,0.9619051380349495,undirected
531,65,0.9619051380349498,undirected
553,65,0.9619051380349497,undirected
323,30,0.9539885436640493,undirected
60,30,0.7925783023462948,undirected
221,30,0.7931777167097966,undirected
111,30,0.9019068691852237,undirected
136,30,0.8127589710585504,undirected
206,30,0.7828553123201653,undirected
554,557,1,undirected
172,557,0.9235810093196762,undirected
527,557,1,undirected
531,557,1,undirected
553,557,1,undirected
65,557,0.9619051380349496,undirected
81,543,0.935519044768748,undirected
369,543,0.9030950235868133,undirected
495,543,0.7982196024550742,undirected
188,543,0.8204504279476716,undirected
85,543,0.8627983706955777,undirected
75,543,0.8484775880970649,undirected
369,114,0.7976514120045154,undirected
495,114,0.959373803725189,undirected
85,114,0.7605044536454748,undirected
560,494,0.8721369629426076,undirected
375,431,0.7935856645445738,undirected
25,561,0.8916401074666939,undirected
147,561,1,undirected
427,525,0.9999150214827243,undirected
519,525,0.9999999999999999,undirected
489,525,0.9999999999999999,undirected
507,525,1,undirected
540,525,1,undirected
461,525,0.9946624576112119,undirected
486,525,0.9953538615520158,undirected
458,525,0.9654103326494609,undirected
537,525,1,undirected
539,525,1,undirected
449,525,0.9958186779817709,undirected
526,525,0.9999999999999999,undirected
