OTU_ID	CD02	CD04	CD06	CD07	CD09	CD10	CD11	CD12	CD13	CD15	CD16	CD18	CD19	CD21	CD24	CD25	CD27	CD31	CD32	CD33	CD34	CD37	CD38	CD40	CD42	CD43	CD44	CD49	CD52	CD56	PE04	PE06	PE08	PE09	PE10	PE13	PE19	PE23	PE25	PE26	PE28	PE29	PE32	PE33	PE34	PE36	PE37	PE43	PE44	PE46	PE48	PE49	PE50	PE52	PE54	PE55	PE57	PE58	PE60	PE61	R01	R02	R03	R04	R05	R06	R07	R08
gene_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_28	0	4.09E-07	8.21E-07	0	0	0	0	0	5.44E-07	4.19E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93E-06	7.09E-06	2.20E-05	0	0	0	0	1.37E-06	0	0	0	0	5.48E-07	1.34E-06	2.14E-06	0	2.30E-06	0	0	0	0	0	0	0	0	0	0	4.78E-07	0	0	0	0	0	0
gene_29	0	0	0	0	0	5.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_31	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E-05	1.13E-05	1.46E-05	3.92E-05	4.86E-06	6.55E-06	8.45E-06	3.44E-06	3.79E-06	4.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53E-07	0	0	0	0	0	0
gene_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-06	0	0	0	4.58E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
