"","Pathway","Cabo Douglas","Punta Espinoza","Rabida"
"287","PWY4FS-7",1,1,1
"288","PWY4FS-8",1,1,1
"289","PWY4LZ-257",1,1,1
"290","PWY66-389",1,1,1
"291","PWY66-399",1,1,1
"292","PWY66-409",1,1,1
"293","PWY66-429",1,1,1
"294","PYRIDNUCSAL-PWY",1,1,1
"295","PYRIDNUCSYN-PWY",1,1,1
"296","PYRIDOXSYN-PWY",1,1,0
"297","REDCITCYC",0,1,0
"298","RHAMCAT-PWY",1,1,1
"299","RIBOSYN2-PWY",1,1,1
"300","SALVADEHYPOX-PWY",1,1,1
"301","SER-GLYSYN-PWY",1,1,1
"302","SO4ASSIM-PWY",1,1,1
"303","SUCSYN-PWY",0,1,1
"304","SULFATE-CYS-PWY",1,1,1
"305","TCA",1,1,0
"306","TCA-GLYOX-BYPASS",0,1,0
"307","THISYNARA-PWY",1,1,1
"308","THRESYN-PWY",1,1,1
"309","TRNA-CHARGING-PWY",1,1,1
"310","UDPNACETYLGALSYN-PWY",0,0,1
"311","UDPNAGSYN-PWY",1,1,1
"312","URSIN-PWY",1,0,1
"313","VALSYN-PWY",1,1,1
